TIER,PLAYER,TEAM/HS,COMMITMENT,OFFENSIVE ROLE,DEFENSIVE ROLE,HEIGHT,RIVALS,247,PREP,ESPN,MADE,EBY,CONSENSUS,,,,,,RANK
1,AJ Williams,Eagles Landing,?,Scoring Wing,???,"6'7""",2,1,2,1,2,1,1.5,,,,,,
1,Toni Garma,Real Madrid (CRO),?,Combo Guard,Perimeter Stopper,"6'5""",,,,,50,2,26.0,,,,,,
1,Bamba Touray,IMG Academy,?,Skilled Big,Rim Protector,"7'0""",1,4,5,4,3,3,3.3,,,,,,
2,Isaiah Hamilton,Crestwood Prep,?,Scoring Wing,Perimeter Disruptor,"6'6""",8,2,,,26,4,10.0,,,,,,
2,Colton Hiller,Coatesville,?,Scoring Wing,Chaser,"6'6""",3,3,3,3,1,5,3.0,,,,,,
2,Rhys Robinson,Real Madrid (USA),?,Primary Ball Handler,???,"6'7""",,,,,9,6,7.5,,,,,,
2,Erick Dampier Jr.,Madison-Ridgeland Academy,?,Play Finishing Big,Versatile Big,"6'10""",4,8,4,2,7,7,5.3,,,,,,
2,Jan Cerdan,Barcelona (ESP),,Skilled Big,Helper,"6'9""",,,,,10,8,9.0,,,,,,
2,Adan Diggs,Millennium,?,Scoring Guard,Perimeter Stopper,"6'4""",5,7,9,8,5,9,7.2,,,,,,
2,Joseph Tala,Drive Basketball (FIN),,Scoring Wing,Perimeter Stopper,"6'7""",,,,,,11,11.0,,,,,,
2,Bentley Lusakueno,Woodward Academy,?,Skilled Forward,Helper,"6'9""",7,5,1,7,4,10,5.7,,,,,,
3,Mason Collins,Tatnall School,,Scoring Wing,???,"6'6""",10,9,12,6,14,12,10.5,,,,,,
3,Shalen Sheppard,Brentwood School,?,Skilled Forward,Helper,"6'7""",6,11,8,9,6,13,8.8,,,,,,
3,Josh Lowery,Legacy Christian Academy,?,Scoring Guard,???,"6'6""",11,14,20,,12,14,11.8,,,,,,
3,Dylan Betts,IMG Academy,?,Play Finishing Big,Rim Protector,"7'0""",12,10,6,,20,15,10.5,,,,,,
3,Kam Mercer,Princeton,?,Primary Ball Handler,???,"6'5""",14,16,7,5,15,16,12.2,,,,,,
3,DJ Okoth,Bartlett,?,Wing Scorer,Perimeter Stopper,"6'6""",9,15,18,12,11,17,13.7,,,,,,
3,Gustavs Vilcans,Dubai BC (LAT),,Skilled Forward,???,6'7,,,,,,18,18.0,,,,,,
3,Myles Hayes,Woodward Academy,?,Scoring Guard,???,"6'4""",27,13,22,11,8,19,16.7,,,,,,
3,Gideo Silas Henry,Real Madrid (NGA),,Play Finishing Big,Rim Protector,"6'9""",,,,,,20,20.0,,,,,,
3,Brady Pettigrew,Bolingbrook,?,Primary Initiator,Point-of-Attack,"6'3""",19,19,23,15,54,21,25.2,,,,,,
3,Delano Pockar,Alba Berlin (GER),,Primary Ball Handler,???,"6'1""",,,,,,22,22.0,,,,,,
3,Blaze Johnson,Overtime Elite,?,Scoring Guard,???,"6'3""",32,17,49,16,17,23,25.7,,,,,,
3,Will Brunson,Rutgers Prep,?,Combo Wing,Perimeter Stopper,"6'6""",36,32,28,,22,24,28.4,,,,,,
3,Jakyi Miles,Mesa,?,,,"6'3""",40,18,11,10,56,25,26.7,,,,,,
,Xavier Young,Faith Family Academy,?,,,"6'9""",39,12,15,13,13,,18.4,,,,,,
,Michai White,Brewster Academy,?,,,"6'0""",13,30,,18,27,,22.0,,,,,,
,Isaiah Carter,Highland,?,,,"6'6""",15,33,,,24,,24.0,,,,,,
,Josh Lindsay,St. Xavier,?,,,"6'1""",16,27,,,34,,25.7,,,,,,
,Quinton Wilson,Overtime Elite,?,,,"6'5""",35,23,10,17,46,,26.2,,,,,,
,Boss Mhoon,The King's Academy,?,,,"6'4""",18,65,13,22,25,,28.6,,,,,,
,Miles Simpson,Villages Charter School,?,,,"6'5""",47,,19,13,37,,29.0,,,,,,
,Logan Chwastyk,Malvern Prep,?,,,"6'9""",17,20,21,,58,,29.0,,,,,,
,Antoine Caughman,Keenan,?,,,"6'4""",23,24,48,,21,,29.0,,,,,,
,Anthony Spratt,Benton,?,,,"6'5""",37,37,31,12,37,,30.8,,,,,,
,Josiah Rose,Faith Family Academy,?,,,"6'3""",20,45,,,28,,31.0,,,,,,
,Malik Moore,Union Catholic ,?,,,"6'3""",33,22,44,23,67,,31.5,,,,,,
,CJ Moore,Ridge View,?,,,"6'7""",28,42,50,,16,,34.0,,,,,,
,Boogie Cook,Christian Academy of Louisville,?,,,"6'7""",34,36,39,,29,,34.5,,,,,,
,Cole Kelly,Neuqua Valley,?,,,"6'6""",44,38,14,,43,,34.8,,,,,,
,Nash Avery,Archbishop Spalding,?,,,"6'7""",48,43,24,19,42,,35.2,,,,,,
,Braxton Bogard,Archbishop Spalding,?,,,"6'8""",41,41,27,22,48,,35.8,,,,,,
,Emmanuel Nwabuoku,St. John's,?,,,"6'9""",22,57,,,30,,36.3,,,,,,
,Isaac Smith,Hargrave Military Academy,?,,,"6'5""",26,66,,,18,,36.7,,,,,,
,Kevin Wheatley,Our Savior Lutheran,?,,,"6'6""",21,28,37,24,74,,36.8,,,,,,
,Xavier Skipworth,The Bullis School,?,,,"6'5""",42,26,17,14,87,,37.2,,,,,,
,Trey Edwards,Melissa,?,,,"6'4""",31,52,29,,41,,38.3,,,,,,
,Tai Bell,Mater Lakes Academy,?,,,"6'2""",30,25,26,25,86,,38.4,,,,,,
,Rowan Phillips,Westtown School,?,,,"6'5""",55,21,45,,35,,39.0,,,,,,
,Peter Julius,Mt. Bethel Christian Academy,?,,,"6'8""",43,56,16,20,62,,39.4,,,,,,
,Landon Lampley,Lawrence Central,?,,,"6'6""",50,35,46,24,45,,40.0,,,,,,
,Tyler Sutton,Overtime Elite,?,,,"6'2""",45,55,34,47,,,45.3,,,,,,
,Devaughn Dorrough,Coronado,?,,,"6'6""",24,50,47,,63,,46.0,,,,,,
,Will Nelson,Madison Prep Academy,?,,,"6'6""",53,31,41,,64,,47.3,,,,,,
,Trey McKinney,Bishop Gorman,?,,,"6'5""",62,,,21,76,,53.0,,,,,,