Team,Division,Player,Games,POSS ,PTS,PPP,AST,TO,TO%,AST/TO,FG MADE,FG MISS,FG ATT,FG%,EFG%,TS%,TSA,2 FG MADE,2 FG MISS,2 FG ATT,2 FG%,3 FG MADE,3 FG MISS,3 FG ATT,3FG%,3PA/FGA,FT ATT,FT MADE,FT MISS,FT%,%FT,FTA/FGA,AND-ONE,AND-ONE %,SCORE%,SF,%SF,TOT REB,OFF REB,DEF REB,STL,STL POS,STL/TO,BLK,BLK FGA,BLK FGA/FGA,STL+BLK,PF TKN,PF COM,BLK/FOUL,GM SCORE,DBL-DBL,TRI-DBL
4:44 Athletics,16U,Lincoln Cosby,14,245,213,0.869,20,37,15.10%,0.54,80,104,184,43.50%,48.60%,51.60%,206,61,59,120,50.80%,19,45,64,29.70%,0.35,51,34,17,66.70%,12.70%,0.28,5,2.00%,40.80%,24,9.80%,58,21,37,11,25,0.3,11,5,0.03,22,40,20,0.55,122.9,0,0
Sipp United,16U,Deshawn Dillon,11,200,222,1.11,21,26,13.00%,0.81,64,73,137,46.70%,55.10%,63.50%,175,41,39,80,51.30%,23,34,57,40.40%,0.42,86,71,15,82.60%,23.00%,0.63,6,3.00%,51.50%,36,18.00%,59,16,43,16,19,0.62,4,2,0.01,20,54,22,0.18,168.5,1,0
Team CPSA,16U,Devaughn Dorrough,12,181,175,0.967,21,28,15.50%,0.75,68,60,128,53.10%,55.50%,56.30%,155,62,48,110,56.40%,6,12,18,33.30%,0.14,62,33,29,53.20%,20.40%,0.48,8,4.40%,49.70%,30,16.60%,90,37,53,15,20,0.54,19,13,0.1,34,45,24,0.79,148.2,1,0
Team Haliburton,16U,Howard Williams,8,181,165,0.912,15,29,16.00%,0.52,52,71,123,42.30%,47.60%,54.60%,151,39,48,87,44.80%,13,23,36,36.10%,0.29,64,48,16,75.00%,21.00%,0.52,9,5.00%,42.00%,27,14.90%,72,26,46,4,16,0.14,9,6,0.05,13,55,18,0.5,109.9,4,0
Southern Ties,16U,Dawson Battie,10,175,157,0.897,16,20,11.40%,0.8,59,82,141,41.80%,45.00%,49.90%,157,50,49,99,50.50%,9,33,42,21.40%,0.3,37,30,7,81.10%,12.60%,0.26,8,4.60%,41.10%,21,12.00%,86,25,61,13,9,0.65,8,6,0.04,21,32,18,0.44,117.5,5,0
4:44 Athletics,16U,Evan Toms,14,172,168,0.977,14,22,12.80%,0.64,61,62,123,49.60%,50.00%,55.40%,152,60,61,121,49.60%,1,1,2,50.00%,0.02,65,45,20,69.20%,22.70%,0.53,10,5.80%,50.00%,30,17.40%,101,55,46,7,12,0.32,19,15,0.12,26,49,24,0.79,149.1,4,0
As Promised ,16U,Zion Green,9,162,170,1.049,19,24,14.80%,0.79,61,56,117,52.10%,55.10%,61.30%,139,54,37,91,59.30%,7,19,26,26.90%,0.22,49,41,8,83.70%,17.90%,0.42,8,4.90%,50.00%,27,16.70%,69,22,47,6,18,0.25,5,3,0.03,11,37,23,0.22,128.4,2,0
Select Basketball,16U,Jordan Carlson,13,158,168,1.063,25,21,13.30%,1.19,65,56,121,53.70%,57.90%,61.20%,137,55,37,92,59.80%,10,19,29,34.50%,0.24,37,28,9,75.70%,12.70%,0.31,4,2.50%,50.60%,18,11.40%,54,20,34,15,16,0.71,23,6,0.05,38,34,12,1.92,152.7,0,0
TME ,16U,Aaron Britt,8,156,121,0.776,38,16,10.30%,2.38,37,75,112,33.00%,37.50%,43.70%,138,27,33,60,45.00%,10,42,52,19.20%,0.46,60,37,23,61.70%,20.50%,0.54,0,0.00%,40.40%,21,13.50%,35,9,26,9,8,0.56,1,5,0.04,10,33,16,0.06,76.2,0,0
Team CPSA,16U,Grayson Coleman,11,150,125,0.833,57,25,16.70%,2.28,43,74,117,36.80%,48.30%,50.40%,124,16,38,54,29.60%,27,36,63,42.90%,0.54,16,12,4,75.00%,6.00%,0.14,1,0.70%,32.70%,5,3.30%,40,9,31,19,20,0.76,4,7,0.06,23,21,20,0.2,103,0,0
3D Empire,16U,Bryant Robinson,8,143,148,1.035,14,16,11.20%,0.88,54,61,115,47.00%,59.10%,59.10%,125,26,23,49,53.10%,28,38,66,42.40%,0.57,23,12,11,52.20%,10.50%,0.2,3,2.10%,42.70%,9,6.30%,28,6,22,14,9,0.88,1,5,0.04,15,20,16,0.06,97.6,0,0
Team Ish,16U,Travien Williams,9,137,114,0.832,32,22,16.10%,1.45,39,55,94,41.50%,43.60%,49.30%,116,35,41,76,46.10%,4,14,18,22.20%,0.19,49,32,17,65.30%,20.40%,0.52,7,5.10%,42.30%,26,19.00%,51,20,31,18,13,0.82,1,11,0.12,19,36,33,0.03,86.2,1,0
Sipp United,16U,David Verdell,11,137,121,0.883,15,28,20.40%,0.54,47,43,90,52.20%,53.90%,56.00%,108,44,32,76,57.90%,3,11,14,21.40%,0.16,41,24,17,58.50%,16.80%,0.46,4,2.90%,46.00%,19,13.90%,63,21,42,12,18,0.43,9,6,0.07,21,31,21,0.43,89.7,1,0
Team Ish,16U,Parker Watkins,9,134,130,0.97,21,11,8.20%,1.91,47,68,115,40.90%,48.70%,51.80%,126,29,24,53,54.70%,18,44,62,29.00%,0.54,24,18,6,75.00%,11.90%,0.21,2,1.50%,44.00%,10,7.50%,28,7,21,9,6,0.82,3,3,0.03,12,14,17,0.18,85.1,0,0
Team CPSA,16U,Tayshaun Bozeman,11,130,112,0.862,31,25,19.20%,1.24,42,57,99,42.40%,52.00%,53.50%,105,23,26,49,46.90%,19,31,50,38.00%,0.51,13,9,4,69.20%,5.40%,0.13,1,0.80%,36.20%,7,5.40%,33,10,23,16,15,0.64,3,6,0.06,19,20,23,0.13,77.4,0,0
TME ,16U,Jomar Bernard,8,129,104,0.806,14,19,14.70%,0.74,39,57,96,40.60%,45.30%,47.60%,109,30,33,63,47.60%,9,24,33,27.30%,0.34,30,17,13,56.70%,12.40%,0.31,2,1.60%,39.50%,11,8.50%,46,12,34,19,10,1,7,8,0.08,26,23,31,0.23,68.1,0,0
MPJ Elite,16U,Brandon Rooks,8,126,127,1.008,24,15,11.90%,1.6,46,58,104,44.20%,55.30%,57.20%,111,23,24,47,48.90%,23,34,57,40.40%,0.55,16,12,4,75.00%,7.10%,0.15,0,0.00%,42.90%,6,4.80%,24,11,13,9,10,0.6,0,6,0.06,9,12,8,0,90.2,0,0
Cooz Elite,16U,Reese Alston,8,120,119,0.992,28,12,10.00%,2.33,45,48,93,48.40%,51.10%,55.10%,108,40,30,70,57.10%,5,18,23,21.70%,0.25,34,24,10,70.60%,16.70%,0.37,5,4.20%,48.30%,15,12.50%,30,13,17,26,6,2.17,4,7,0.08,30,27,9,0.44,114.9,0,0
1Family,16U,Terrance Walker,8,120,99,0.825,35,20,16.70%,1.75,34,56,90,37.80%,47.20%,49.90%,99,17,21,38,44.70%,17,35,52,32.70%,0.58,21,14,7,66.70%,9.20%,0.23,1,0.80%,36.70%,9,7.50%,23,5,18,11,12,0.55,3,4,0.04,14,20,10,0.3,69.3,0,0
TME ,16U,Gabe Grimsley,8,120,98,0.817,13,15,12.50%,0.87,34,57,91,37.40%,40.10%,46.40%,106,29,39,68,42.60%,5,18,23,21.70%,0.25,33,25,8,75.80%,15.80%,0.36,5,4.20%,39.20%,15,12.50%,24,7,17,13,13,0.87,0,9,0.1,13,29,12,0,57,0,0
Louisiana Elite,16U,Peyton Parker,7,114,72,0.632,9,15,13.20%,0.6,28,65,93,30.10%,33.30%,36.50%,99,22,38,60,36.70%,6,27,33,18.20%,0.35,13,10,3,76.90%,6.10%,0.14,1,0.90%,29.80%,7,6.10%,19,7,12,4,8,0.27,1,7,0.08,5,16,8,0.13,18.2,0,0
4:44 Athletics,16U,Micah Goodlow,14,110,98,0.891,22,13,11.80%,1.69,35,52,87,40.20%,47.10%,49.60%,99,23,28,51,45.10%,12,24,36,33.30%,0.41,27,16,11,59.30%,13.60%,0.31,1,0.90%,42.70%,9,8.20%,30,7,23,12,11,0.92,1,5,0.06,13,14,13,0.08,68.4,0,0
Sipp United,16U,Braxton Wardd,10,110,92,0.836,18,17,15.50%,1.06,34,48,82,41.50%,47.00%,49.50%,93,25,27,52,48.10%,9,21,30,30.00%,0.37,25,15,10,60.00%,11.80%,0.3,2,1.80%,39.10%,13,11.80%,21,8,13,14,9,0.82,4,5,0.06,18,15,16,0.25,59.7,0,0
Southern Ties,16U,Nate Lyon,10,109,87,0.798,25,24,22.00%,1.04,31,50,81,38.30%,50.00%,51.50%,85,12,7,19,63.20%,19,43,62,30.60%,0.77,8,6,2,75.00%,4.60%,0.1,1,0.90%,32.10%,2,1.80%,22,7,15,15,16,0.63,1,1,0.01,16,10,22,0.05,51.7,0,0
4:44 Athletics,16U,Romelo Hill,14,108,70,0.648,44,33,30.60%,1.33,23,41,64,35.90%,41.40%,46.40%,75,16,19,35,45.70%,7,22,29,24.10%,0.45,26,17,9,65.40%,14.80%,0.41,1,0.90%,30.60%,6,5.60%,31,7,24,17,20,0.52,0,4,0.06,17,17,9,0,54.1,0,0
Team CPSA,16U,Augustus Sugarman,12,108,79,0.731,17,22,20.40%,0.77,27,56,83,32.50%,44.00%,45.70%,87,8,9,17,47.10%,19,47,66,28.80%,0.8,8,6,2,75.00%,4.60%,0.1,2,1.90%,27.80%,5,4.60%,34,6,28,7,13,0.32,3,3,0.04,10,9,10,0.3,38.5,0,0
MPJ Elite,16U,Joelle Rover,8,105,85,0.81,11,22,21.00%,0.5,32,42,74,43.20%,48.60%,51.90%,82,24,24,48,50.00%,8,18,26,30.80%,0.35,18,13,5,72.20%,8.60%,0.24,0,0.00%,38.10%,9,8.60%,32,14,18,6,10,0.27,4,9,0.12,10,13,19,0.21,46.1,0,0
Select Basketball,16U,Cameron Walls,13,101,74,0.733,33,27,26.70%,1.22,24,39,63,38.10%,45.20%,50.30%,74,15,18,33,45.50%,9,21,30,30.00%,0.48,24,17,7,70.80%,12.90%,0.38,0,0.00%,35.60%,6,5.90%,32,7,25,11,23,0.41,1,4,0.06,12,19,13,0.08,51.7,0,0
Select Basketball,16U,Eli Hopkins,13,99,107,1.081,21,16,16.20%,1.31,45,30,75,60.00%,62.70%,64.50%,83,41,20,61,67.20%,4,10,14,28.60%,0.19,18,13,5,72.20%,11.10%,0.24,3,3.00%,52.50%,5,5.10%,73,18,55,11,12,0.69,10,3,0.04,21,22,25,0.4,106.3,0,0
Select Basketball,16U,Elijah Thompson,13,98,90,0.918,48,26,26.50%,1.85,29,32,61,47.50%,59.00%,62.10%,72,15,17,32,46.90%,14,15,29,48.30%,0.48,26,18,8,69.20%,14.30%,0.43,2,2.00%,38.80%,5,5.10%,35,2,33,16,19,0.62,1,4,0.07,17,15,14,0.07,85.7,0,0
Team CPSA,16U,Seki Bamani,12,98,82,0.837,13,11,11.20%,1.18,33,53,86,38.40%,45.30%,46.70%,88,21,10,31,67.70%,12,43,55,21.80%,0.64,4,4,0,100.00%,3.10%,0.05,0,0.00%,36.70%,1,1.00%,56,20,36,7,7,0.64,5,2,0.02,12,1,15,0.33,62.4,0,0
4:44 Athletics,16U,Collin Robinson,12,97,93,0.959,18,16,16.50%,1.13,27,37,64,42.20%,49.20%,56.70%,82,18,22,40,45.00%,9,15,24,37.50%,0.38,41,30,11,73.20%,25.80%,0.64,2,2.10%,47.40%,10,10.30%,37,7,30,11,11,0.69,1,2,0.03,12,22,8,0.13,73.6,0,0
YGC,16U,Christopher Hunt Jr,8,95,81,0.853,32,12,12.60%,2.67,28,47,75,37.30%,44.00%,48.60%,83,18,31,49,36.70%,10,16,26,38.50%,0.35,19,15,4,78.90%,11.60%,0.25,3,3.20%,36.80%,9,9.50%,33,3,30,8,9,0.67,4,4,0.05,12,15,7,0.57,67.6,0,0
4:44 Athletics,16U,Braydon Langston,14,95,74,0.779,11,15,15.80%,0.73,29,34,63,46.00%,46.80%,47.20%,78,28,26,54,51.90%,1,8,9,11.10%,0.14,35,15,20,42.90%,22.10%,0.56,2,2.10%,43.20%,9,9.50%,71,20,51,13,9,0.87,18,2,0.03,31,18,22,0.82,72.3,0,0
Team Scoot,16U,Michael Rowe,7,95,82,0.863,7,16,16.80%,0.44,31,36,67,46.30%,47.00%,51.10%,80,30,32,62,48.40%,1,4,5,20.00%,0.07,30,19,11,63.30%,18.90%,0.45,4,4.20%,45.30%,16,16.80%,49,22,27,6,9,0.38,13,6,0.09,19,17,7,1.86,67.8,1,0
Sipp United,16U,Jordan Samuel,11,93,62,0.667,37,23,24.70%,1.61,23,37,60,38.30%,41.70%,45.30%,68,19,30,49,38.80%,4,7,11,36.40%,0.18,19,12,7,63.20%,12.90%,0.32,0,0.00%,32.30%,4,4.30%,25,7,18,11,17,0.48,0,8,0.13,11,18,19,0,43,0,0
SA Future,16U,Jacob Padilla,6,92,77,0.837,20,21,22.80%,0.95,28,36,64,43.80%,50.00%,53.50%,72,20,26,46,43.50%,8,10,18,44.40%,0.28,18,13,5,72.20%,12.00%,0.28,3,3.30%,39.10%,6,6.50%,35,7,28,14,15,0.67,2,8,0.13,16,17,16,0.13,56.7,0,0
As Promised ,16U,Kevin Benson III,9,91,59,0.648,5,24,26.40%,0.21,18,43,61,29.50%,38.50%,43.90%,67,7,17,24,29.20%,11,26,37,29.70%,0.61,14,12,2,85.70%,8.80%,0.23,1,1.10%,26.40%,4,4.40%,31,5,26,2,14,0.08,0,3,0.05,2,12,12,0,10.7,0,0
3D Empire,16U,Brandon Lohmann,8,89,62,0.697,19,12,13.50%,1.58,22,52,74,29.70%,37.80%,40.20%,77,10,8,18,55.60%,12,44,56,21.40%,0.76,7,6,1,85.70%,4.50%,0.09,1,1.10%,28.10%,3,3.40%,18,3,15,14,6,1.17,0,3,0.04,14,7,21,0,32.1,0,0
4:44 Athletics,16U,Mekhi Allen,14,89,72,0.809,15,17,19.10%,0.88,24,40,64,37.50%,43.80%,49.20%,73,16,13,29,55.20%,8,27,35,22.90%,0.55,21,16,5,76.20%,12.40%,0.33,3,3.40%,34.80%,11,12.40%,45,18,27,5,8,0.29,6,0,0,11,12,21,0.29,49.8,0,0
Select Basketball,16U,Orland Axton,13,89,73,0.82,11,14,15.70%,0.79,27,42,69,39.10%,46.40%,48.80%,75,17,12,29,58.60%,10,30,40,25.00%,0.58,13,9,4,69.20%,7.90%,0.19,1,1.10%,37.10%,4,4.50%,28,10,18,1,9,0.07,5,5,0.07,6,9,13,0.38,39.3,0,0
Nebraska Supreme,16U,Shane Holen,8,88,98,1.114,22,12,13.60%,1.83,38,24,62,61.30%,62.10%,65.50%,75,37,19,56,66.10%,1,5,6,16.70%,0.1,29,21,8,72.40%,18.20%,0.47,2,2.30%,56.80%,9,10.20%,45,17,28,19,7,1.58,7,5,0.08,26,19,13,0.54,109,0,0
Select Basketball,16U,Kaden Rogers,13,88,68,0.773,17,15,17.00%,1.13,28,38,66,42.40%,45.50%,46.80%,73,24,20,44,54.50%,4,18,22,18.20%,0.33,15,8,7,53.30%,9.10%,0.23,1,1.10%,38.60%,6,6.80%,54,27,27,3,10,0.2,7,8,0.12,10,12,18,0.39,54.8,0,0
Cooz Elite,16U,Brodrick Wyatt,8,87,77,0.885,23,12,13.80%,1.92,31,34,65,47.70%,50.80%,52.20%,74,27,25,52,51.90%,4,9,13,30.80%,0.2,20,11,9,55.00%,12.60%,0.31,1,1.10%,43.70%,6,6.90%,65,25,40,9,6,0.75,5,2,0.03,14,18,14,0.36,80.8,0,0
Louisiana Elite,16U,Jaiden Hall,7,87,58,0.667,7,19,21.80%,0.37,21,41,62,33.90%,38.70%,42.00%,69,15,20,35,42.90%,6,21,27,22.20%,0.44,16,10,6,62.50%,11.50%,0.26,4,4.60%,31.00%,10,11.50%,30,12,18,13,14,0.68,1,3,0.05,14,12,10,0.1,30,0,0
3D Empire,16U,Alex Cheatham,8,85,78,0.918,17,18,21.20%,0.94,28,28,56,50.00%,55.40%,58.60%,67,22,17,39,56.40%,6,11,17,35.30%,0.3,24,16,8,66.70%,15.30%,0.43,2,2.40%,44.70%,9,10.60%,25,9,16,10,12,0.56,0,5,0.09,10,18,16,0,55.4,0,0
Nebraska Supreme,16U,Bryce Johnson Jr,8,83,71,0.855,18,20,24.10%,0.9,24,27,51,47.10%,48.00%,56.90%,62,23,16,39,59.00%,1,11,12,8.30%,0.24,26,22,4,84.60%,16.90%,0.51,2,2.40%,43.40%,8,9.60%,20,6,14,14,14,0.7,1,3,0.06,15,18,6,0.17,56.6,0,0
1Family,16U,Anthony Brown,7,82,72,0.878,20,19,23.20%,1.05,29,25,54,53.70%,54.60%,57.30%,63,28,20,48,58.30%,1,5,6,16.70%,0.11,20,13,7,65.00%,14.60%,0.37,3,3.70%,43.90%,8,9.80%,49,15,34,11,6,0.58,2,4,0.07,13,17,14,0.14,65.5,2,0
YGC,16U,Steven McLeod,8,82,83,1.012,3,6,7.30%,0.5,32,31,63,50.80%,50.80%,55.40%,75,32,29,61,52.50%,0,2,2,0.00%,0.03,27,19,8,70.40%,17.10%,0.43,1,1.20%,53.70%,13,15.90%,51,25,26,10,3,1.67,0,6,0.1,10,18,8,0,76.7,1,0
Southern Ties,16U,JJ Wise,10,81,78,0.963,19,5,6.20%,3.8,29,45,74,39.20%,50.00%,51.20%,76,13,12,25,52.00%,16,33,49,32.70%,0.66,5,4,1,80.00%,3.70%,0.07,1,1.20%,38.30%,3,3.70%,43,15,28,8,5,1.6,2,2,0.03,10,5,14,0.14,68.4,0,0
MPJ Elite,16U,Zion Luque,8,81,82,1.012,2,6,7.40%,0.33,31,35,66,47.00%,53.00%,54.80%,75,23,15,38,60.50%,8,20,28,28.60%,0.42,20,12,8,60.00%,12.30%,0.3,1,1.20%,45.70%,10,12.30%,26,5,21,2,3,0.33,9,2,0.03,11,16,15,0.6,52.5,0,0
3D Empire,16U,Wesley Zenon,8,80,82,1.025,17,11,13.80%,1.55,31,25,56,55.40%,57.10%,59.20%,69,29,19,48,60.40%,2,6,8,25.00%,0.14,30,18,12,60.00%,21.30%,0.54,4,5.00%,53.80%,17,21.30%,47,21,26,13,4,1.18,6,8,0.14,19,22,27,0.22,80.2,0,0
Sipp United,16U,Jeffrey Flanagan,11,79,76,0.962,7,11,13.90%,0.64,29,25,54,53.70%,57.40%,57.30%,66,25,18,43,58.10%,4,7,11,36.40%,0.2,28,14,14,50.00%,17.70%,0.52,0,0.00%,49.40%,13,16.50%,25,7,18,12,7,1.09,1,3,0.06,13,19,12,0.08,56.3,0,0
3D Empire,16U,Jet Naegele,8,79,59,0.747,8,16,20.30%,0.5,26,34,60,43.30%,46.70%,46.80%,63,22,19,41,53.70%,4,15,19,21.10%,0.32,7,3,4,42.90%,5.10%,0.12,1,1.30%,35.40%,4,5.10%,22,7,15,3,11,0.19,0,6,0.1,3,9,10,0,23.8,0,0
YGC,16U,JaDarian Williams,8,76,45,0.592,27,25,32.90%,1.08,15,31,46,32.60%,42.40%,44.60%,50,6,13,19,31.60%,9,18,27,33.30%,0.59,10,6,4,60.00%,6.60%,0.22,0,0.00%,25.00%,4,5.30%,19,3,16,13,18,0.52,1,4,0.09,14,5,9,0.11,28.1,0,0
Team Haliburton,16U,Gavin Valeri,8,76,68,0.895,10,13,17.10%,0.77,26,34,60,43.30%,54.20%,54.30%,63,13,16,29,44.80%,13,18,31,41.90%,0.52,6,3,3,50.00%,3.90%,0.1,0,0.00%,38.20%,2,2.60%,15,8,7,6,8,0.46,2,3,0.05,8,7,18,0.11,37.1,0,0
